Date,Open,High,Low,Close,Adj Close,Volume
2019-05-27,0.118215,0.120983,0.094688,0.105008,0.105008,68212
2019-05-28,0.104894,0.107599,0.096358,0.105355,0.105355,39145
2019-05-29,0.105331,0.105339,0.092803,0.103456,0.103456,15886
2019-05-30,0.103456,0.107905,0.093572,0.097419,0.097419,14295
2019-05-31,0.097419,0.099917,0.090311,0.099543,0.099543,28675
2019-06-01,0.099548,0.101229,0.087436,0.095479,0.095479,36813
2019-06-02,0.095479,0.098130,0.090863,0.094420,0.094420,15289
2019-06-03,0.094420,0.099512,0.083786,0.097570,0.097570,39936
2019-06-04,0.097560,0.097560,0.075843,0.084469,0.084469,62153
2019-06-05,0.084469,0.085037,0.079023,0.083263,0.083263,14844
2019-06-06,0.083262,0.083506,0.073877,0.077678,0.077678,42966
2019-06-07,0.077683,0.095606,0.074569,0.095452,0.095452,56565
2019-06-08,0.095419,0.095605,0.073399,0.087977,0.087977,110760
2019-06-09,0.087952,0.088019,0.071023,0.073843,0.073843,65682
2019-06-10,0.073849,0.095102,0.071893,0.094978,0.094978,73632
2019-06-11,0.095052,0.103306,0.085432,0.103147,0.103147,49741
2019-06-12,0.103105,0.110787,0.065887,0.105836,0.105836,248540
2019-06-13,0.105812,0.120402,0.100310,0.117892,0.117892,245615
2019-06-14,0.117926,0.121020,0.088914,0.097929,0.097929,203065
2019-06-15,0.097846,0.106130,0.091821,0.102550,0.102550,114605
2019-06-16,0.102550,0.106384,0.092719,0.099770,0.099770,110790
2019-06-17,0.099770,0.101423,0.083692,0.094292,0.094292,111316
2019-06-18,0.094255,0.096186,0.081119,0.083441,0.083441,68161
2019-06-19,0.081629,0.085994,0.080629,0.081899,0.081899,69318
2019-06-20,0.081904,0.081917,0.071444,0.079565,0.079565,138538
2019-06-21,0.079553,0.083813,0.071126,0.080808,0.080808,195064
2019-06-22,0.080919,0.087538,0.073787,0.073787,0.073787,55268
2019-06-23,0.073773,0.082545,0.073764,0.075362,0.075362,39020
2019-06-24,0.075362,0.076564,0.066496,0.071197,0.071197,89269
2019-06-25,0.071217,0.081071,0.066691,0.079906,0.079906,75694
2019-06-26,0.079906,0.089580,0.069081,0.082233,0.082233,174775
2019-06-27,0.082233,0.082249,0.052006,0.059803,0.059803,80787
2019-06-28,0.062054,0.072482,0.058636,0.064801,0.064801,37769
2019-06-29,0.064850,0.067292,0.060526,0.066578,0.066578,6198
2019-06-30,0.066483,0.067079,0.058367,0.058367,0.058367,13365
2019-07-01,0.058367,0.062315,0.056136,0.062097,0.062097,14886
2019-07-02,0.062092,0.064664,0.056687,0.064177,0.064177,36666
2019-07-03,0.064183,0.071984,0.062394,0.071530,0.071530,47352
2019-07-04,0.071535,0.072597,0.064321,0.064342,0.064342,39218
2019-07-05,0.064351,0.068311,0.063917,0.067262,0.067262,6401
2019-07-06,0.067241,0.072429,0.066924,0.071297,0.071297,34234
2019-07-07,0.071300,0.077160,0.070368,0.076116,0.076116,8155
2019-07-08,0.076117,0.077979,0.072278,0.076099,0.076099,10084
2019-07-09,0.076139,0.078734,0.067448,0.074853,0.074853,63535
2019-07-10,0.074908,0.079557,0.070288,0.075092,0.075092,33735
2019-07-11,0.075083,0.075083,0.067940,0.069235,0.069235,34030
2019-07-12,0.069301,0.071834,0.067886,0.071296,0.071296,26402
2019-07-13,0.071324,0.071622,0.055897,0.065899,0.065899,82799
2019-07-14,0.065900,0.068300,0.058915,0.058932,0.058932,34309
2019-07-15,0.058848,0.059701,0.053587,0.058694,0.058694,69519
2019-07-16,0.058629,0.060208,0.050776,0.051441,0.051441,112329
2019-07-17,0.051196,0.057298,0.048284,0.055415,0.055415,93699
2019-07-18,0.055407,0.062662,0.054439,0.062082,0.062082,103300
2019-07-19,0.062082,0.063385,0.058128,0.060745,0.060745,34296
2019-07-20,0.060769,0.065725,0.060593,0.064305,0.064305,38785
2019-07-21,0.064305,0.064562,0.060807,0.062624,0.062624,31117
2019-07-22,0.062617,0.063460,0.058151,0.061810,0.061810,74258
2019-07-23,0.061811,0.061823,0.052187,0.054534,0.054534,137670
2019-07-24,0.054534,0.063193,0.049351,0.060398,0.060398,125363
2019-07-25,0.060368,0.062284,0.059840,0.060797,0.060797,26806
2019-07-26,0.060790,0.060940,0.059289,0.060459,0.060459,22844
2019-07-27,0.060459,0.061349,0.056042,0.056933,0.056933,17115
2019-07-28,0.056901,0.057788,0.054403,0.057464,0.057464,58433
2019-07-29,0.057460,0.058544,0.047438,0.051446,0.051446,157990
2019-07-30,0.051450,0.058128,0.045477,0.051566,0.051566,167290
2019-07-31,0.051568,0.056494,0.050563,0.054919,0.054919,69073
2019-08-01,0.054953,0.056538,0.049779,0.055985,0.055985,150132
2019-08-02,0.055986,0.058558,0.055086,0.056949,0.056949,63543
2019-08-03,0.056950,0.059769,0.052035,0.055284,0.055284,92181
2019-08-04,0.055283,0.057212,0.052850,0.054970,0.054970,54516
2019-08-05,0.055125,0.058717,0.049919,0.053577,0.053577,73740
2019-08-06,0.053559,0.058013,0.052239,0.054904,0.054904,19612
2019-08-07,0.054896,0.062274,0.053450,0.060104,0.060104,99944
